Johto Dex #,National Dex #,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total
89,63,Abra,Psychic,,25,20,15,105,55,90,310
90,64,Kadabra,Psychic,,40,35,30,120,70,105,400
91,65,Alakazam,Psychic,,55,50,45,135,95,120,500
92,132,Ditto,Normal,,48,48,48,48,48,48,288
93,204,Pineco,Bug,,50,65,90,35,35,15,290
94,205,Forretress,Bug,Steel,75,90,140,60,60,40,465
95,29,Nidoran♀,Poison,,55,47,52,40,40,41,275
96,30,Nidorina,Poison,,70,62,67,55,55,56,365
97,31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,505
98,32,Nidoran♂,Poison,,46,57,40,40,40,50,273
99,33,Nidorino,Poison,,61,72,57,55,55,65,365
100,34,Nidoking,Poison,Ground,81,102,77,85,75,85,505
101,193,Yanma,Bug,Flying,65,65,45,75,45,95,390
102,469,Yanmega,Bug,Flying,86,76,86,116,56,95,515
103,191,Sunkern,Grass,,30,30,30,30,30,30,180
104,192,Sunflora,Grass,,75,75,55,105,85,30,425
105,102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,325
106,103,Exeggutor,Grass,Psychic,95,95,85,125,75,55,530
107,185,Sudowoodo,Rock,,70,100,115,30,65,30,410
108,202,Wobbuffet,Psychic,,190,33,58,33,58,33,405
109,48,Venonat,Bug,Poison,60,55,50,40,55,45,305
110,49,Venomoth,Bug,Poison,70,65,60,90,75,90,450
111,123,Scyther,Bug,Flying,70,110,80,55,80,105,500
112,212,Scizor,Bug,Steel,70,130,100,55,80,65,500
113,127,Pinsir,Bug,,65,125,100,55,70,85,500
114,214,Heracross,Bug,Fighting,80,125,75,40,95,85,500
115,109,Koffing,Poison,,40,65,95,60,45,35,340
116,110,Weezing,Poison,,65,90,120,85,70,60,490
117,88,Grimer,Poison,,80,80,50,40,50,25,325
118,89,Muk,Poison,,105,105,75,65,100,50,500
119,81,Magnemite,Electric,Steel,25,35,70,95,55,45,325
120,82,Magneton,Electric,Steel,50,60,95,120,70,70,465
121,100,Voltorb,Electric,,40,30,50,55,55,100,330
122,101,Electrode,Electric,,60,50,70,80,80,140,480
123,190,Aipom,Normal,,55,70,55,40,55,85,360
124,424,Ambipom,Normal,,75,100,66,60,66,115,482
125,209,Snubbull,Normal,,60,80,50,40,40,30,300
126,210,Granbull,Normal,,90,120,75,60,60,45,450
127,37,Vulpix,Fire,,38,41,40,50,65,65,299
128,38,Ninetales,Fire,,73,76,75,81,100,100,505
129,58,Growlithe,Fire,,55,70,45,70,50,60,350
130,59,Arcanine,Fire,,90,110,80,100,80,95,555
131,234,Stantler,Normal,,73,95,62,85,65,85,465
132,183,Marill,Water,,70,20,50,20,50,40,250
133,184,Azumarill,Water,,100,50,80,60,80,50,420
134,50,Diglett,Ground,,10,55,25,35,45,95,265
135,51,Dugtrio,Ground,,35,100,50,50,70,120,425
136,56,Mankey,Fighting,,40,80,35,35,45,70,305
137,57,Primeape,Fighting,,65,105,60,60,70,95,455
138,52,Meowth,Normal,,40,45,35,40,40,90,290
139,53,Persian,Normal,,65,70,60,65,65,115,440
140,54,Psyduck,Water,,50,52,48,65,50,55,320
141,55,Golduck,Water,,80,82,78,95,80,85,500
142,66,Machop,Fighting,,70,80,50,35,35,35,305
143,67,Machoke,Fighting,,80,100,70,50,60,45,405
144,68,Machamp,Fighting,,90,130,80,65,85,55,505
145,236,Tyrogue,Fighting,,35,35,35,35,35,35,210
146,106,Hitmonlee,Fighting,,50,120,53,35,110,87,455
147,107,Hitmonchan,Fighting,,50,105,79,35,110,76,455
148,237,Hitmontop,Fighting,,50,95,95,35,110,70,455
149,203,Girafarig,Normal,Psychic,70,80,65,90,65,85,455
150,128,Tauros,Normal,,75,100,95,40,70,110,490
151,241,Miltank,Normal,,95,80,105,40,70,100,490
152,240,Magby,Fire,,45,75,37,70,55,83,365
153,126,Magmar,Fire,,65,95,57,100,85,93,495
154,238,Smoochum,Ice,Psychic,45,30,15,85,65,65,305
155,124,Jynx,Ice,Psychic,65,50,35,115,95,95,455
156,239,Elekid,Electric,,45,63,37,65,55,95,360
157,125,Electabuzz,Electric,,65,83,57,95,85,105,490
158,122,Mr. Mime,Psychic,,40,45,65,100,120,90,460
159,235,Smeargle,Normal,,55,20,35,20,45,75,250
160,83,Farfetch'd,Normal,Flying,52,90,55,58,62,60,377
161,177,Natu,Psychic,Flying,40,50,45,70,45,70,320
162,178,Xatu,Psychic,Flying,65,75,70,95,70,95,470
163,211,Qwilfish,Water,Poison,65,95,85,55,55,85,440
164,72,Tentacool,Water,Poison,40,40,35,50,100,70,335
165,73,Tentacruel,Water,Poison,80,70,65,80,120,100,515
166,98,Krabby,Water,,30,105,90,25,25,50,325
167,99,Kingler,Water,,55,130,115,50,50,75,475
168,213,Shuckle,Bug,Rock,20,10,230,10,230,5,505
169,120,Staryu,Water,,30,45,55,70,55,85,340
170,121,Starmie,Water,Psychic,60,75,85,100,85,115,520
171,90,Shellder,Water,,30,65,100,45,25,40,305
172,91,Cloyster,Water,Ice,50,95,180,85,45,70,525
173,222,Corsola,Water,Rock,65,55,95,65,95,35,410
174,223,Remoraid,Water,,35,65,35,65,35,65,300
175,224,Octillery,Water,,75,105,75,105,75,45,480
176,170,Chinchou,Water,Electric,75,38,38,56,56,67,330
177,171,Lanturn,Water,Electric,125,58,58,76,76,67,460
178,86,Seel,Water,,65,45,55,45,70,45,325
179,87,Dewgong,Water,Ice,90,70,80,70,95,70,475
180,108,Lickitung,Normal,,90,55,75,60,75,30,385
181,463,Lickilicky,Normal,,110,85,95,80,95,50,515
182,114,Tangela,Grass,,65,55,115,100,40,60,435
183,465,Tangrowth,Grass,,100,100,125,110,50,50,535
184,133,Eevee,Normal,,55,55,50,45,65,55,325
185,134,Vaporeon,Water,,130,65,60,110,95,65,525
186,135,Jolteon,Electric,,65,65,60,110,95,130,525
187,136,Flareon,Fire,,65,130,60,95,110,65,525
188,196,Espeon,Psychic,,65,65,60,130,95,110,525
189,197,Umbreon,Dark,,95,65,110,60,130,65,525
190,116,Horsea,Water,,30,40,70,70,25,60,295
191,117,Seadra,Water,,55,65,95,95,45,85,440
192,230,Kingdra,Water,Dragon,75,95,95,95,95,85,540
193,207,Gligar,Ground,Flying,65,75,105,35,65,85,430
194,225,Delibird,Ice,Flying,45,55,45,65,45,75,330
195,220,Swinub,Ice,Ground,50,50,40,30,30,50,250
196,221,Piloswine,Ice,Ground,100,100,80,60,60,50,450
197,473,Mamoswine,Ice,Ground,110,130,80,70,60,80,530
198,216,Teddiursa,Normal,,60,80,50,50,50,40,330
199,217,Ursaring,Normal,,90,130,75,75,75,55,500
200,231,Phanpy,Ground,,90,60,60,40,40,40,330
201,232,Donphan,Ground,,90,120,120,60,60,50,500
202,226,Mantine,Water,Flying,65,40,70,80,140,70,465
203,227,Skarmory,Steel,Flying,65,80,140,40,70,70,465
204,84,Doduo,Normal,Flying,35,85,45,35,35,75,310
205,85,Dodrio,Normal,Flying,60,110,70,60,60,110,470
206,77,Ponyta,Fire,,50,85,55,65,65,90,410
207,78,Rapidash,Fire,,65,100,70,80,80,105,500
208,104,Cubone,Ground,,50,50,95,40,50,35,320
209,105,Marowak,Ground,,60,80,110,50,80,45,425
210,115,Kangaskhan,Normal,,105,95,80,40,80,90,490
211,111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,345
212,112,Rhydon,Ground,Rock,105,130,120,45,45,40,485
213,198,Murkrow,Dark,Flying,60,85,42,85,42,91,405
214,228,Houndour,Dark,Fire,45,60,30,80,50,65,330
215,229,Houndoom,Dark,Fire,75,90,50,110,80,95,500
216,218,Slugma,Fire,,40,40,40,70,40,20,250
217,219,Magcargo,Fire,Rock,50,50,120,80,80,30,410
218,215,Sneasel,Dark,Ice,55,95,55,35,75,115,430
219,200,Misdreavus,Ghost,,60,60,60,85,85,85,435
220,137,Porygon,Normal,,65,60,70,85,75,40,395
221,233,Porygon2,Normal,,85,80,90,105,95,60,515
222,113,Chansey,Normal,,250,5,5,35,105,50,450
223,242,Blissey,Normal,,255,10,10,75,135,55,540
224,131,Lapras,Water,Ice,130,85,80,85,95,60,535
225,138,Omanyte,Rock,Water,35,40,100,90,55,35,355
226,139,Omastar,Rock,Water,70,60,125,115,70,55,495
227,140,Kabuto,Rock,Water,30,80,90,55,45,55,355
228,141,Kabutops,Rock,Water,60,115,105,65,70,80,495
229,142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,515
230,143,Snorlax,Normal,,160,110,65,65,110,30,540
231,1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318
232,2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405
233,3,Venusaur,Grass,Poison,80,82,83,100,100,80,525
234,4,Charmander,Fire,,39,52,43,60,50,65,309
235,5,Charmeleon,Fire,,58,64,58,80,65,80,405
236,6,Charizard,Fire,Flying,78,84,78,109,85,100,534
237,7,Squirtle,Water,,44,48,65,50,64,43,314
238,8,Wartortle,Water,,59,63,80,65,80,58,405
239,9,Blastoise,Water,,79,83,100,85,105,78,530
240,144,Articuno,Ice,Flying,90,85,100,95,125,85,580
241,145,Zapdos,Electric,Flying,90,90,85,125,90,100,580
242,146,Moltres,Fire,Flying,90,100,90,125,85,90,580
243,243,Raikou,Electric,,90,85,75,115,100,115,580
244,244,Entei,Fire,,115,115,85,90,75,100,580
245,245,Suicune,Water,,100,75,115,90,115,85,580
246,147,Dratini,Dragon,,41,64,45,50,50,50,300
247,148,Dragonair,Dragon,,61,84,65,70,70,70,420
248,149,Dragonite,Dragon,Flying,91,134,95,100,100,80,600
249,246,Larvitar,Rock,Ground,50,64,50,45,50,41,300
250,247,Pupitar,Rock,Ground,70,84,70,65,70,51,410
251,248,Tyranitar,Rock,Dark,100,134,110,95,100,61,600
252,249,Lugia,Psychic,Flying,106,90,130,90,154,110,680
253,250,Ho-Oh,Fire,Flying,106,130,90,110,154,90,680
254,150,Mewtwo,Psychic,,106,110,90,154,90,130,680
255,151,Mew,Psychic,,100,100,100,100,100,100,600
256,251,Celebi,Psychic,Grass,100,100,100,100,100,100,600
